id	val
15	2.5
16	5.0
N	1234.0
17	1234.0
N	9.0
N	8.0
N	7.0
N	6.0
N	5.0
N	4.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	2.0
N	1.0
N	0.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	4.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	2.0
N	1.0
N	0.0
N	5.0
N	4.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	2.0
N	1.0
N	0.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	6.0
N	5.0
N	4.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	2.0
N	1.0
N	0.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	4.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	2.0
N	1.0
N	0.0
N	7.0
N	6.0
N	5.0
N	4.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	2.0
N	1.0
N	0.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	4.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	2.0
N	1.0
N	0.0
N	5.0
N	4.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
N	2.0
N	1.0
N	0.0
N	3.0
N	2.0
N	1.0
N	0.0
N	1.0
F	34.0
